case_id,year,month,month_text,day,day_week,day_week_text,hour,time_order,crash_factor,weather,fatals,drunk,latitude,longitud,county,state,fips
420038,2004,1,January,1,5,Friday,0,9,2,1,1,1,40.92801389,-79.78177222,Butler,Pennsylvania,42019
420225,2004,1,January,1,5,Friday,6,72,1,1,1,0,41.02624444,-76.07905278,Luzerne,Pennsylvania,42079
420142,2004,1,January,1,5,Friday,11,90,1,1,2,0,40.8109,-80.11648333,Butler,Pennsylvania,42019
420005,2004,1,January,1,5,Friday,12,96,1,1,1,0,41.08882222,-75.5988,Monroe,Pennsylvania,42089
420079,2004,1,January,1,5,Friday,15,102,1,1,1,2,40.71992778,-76.27675833,Schuylkill,Pennsylvania,42107
420189,2004,1,January,1,5,Friday,16,108,1,1,2,0,40.06803889,-79.28645833,Westmoreland,Pennsylvania,42129
420367,2004,1,January,1,5,Friday,23,128,3,1,1,1,40.75539444,-75.60693056,Northampton,Pennsylvania,42095
420479,2004,1,January,2,6,Saturday,13,176,1,1,1,0,40.92072222,-76.73903056,Northumberland,Pennsylvania,42097
420417,2004,1,January,3,7,Sunday,3,240,2,1,1,0,40.26060833,-79.48010833,Westmoreland,Pennsylvania,42129
420387,2004,1,January,3,7,Sunday,13,266,1,1,1,1,40.10334722,-74.86182778,Bucks,Pennsylvania,42017
420037,2004,1,January,3,7,Sunday,16,285,1,1,1,0,40.220375,-75.09876667,Bucks,Pennsylvania,42017
420006,2004,1,January,3,7,Sunday,18,294,2,1,1,0,39.95885278,-76.55554444,York,Pennsylvania,42133
420307,2004,1,January,3,7,Sunday,18,295,3,1,1,1,39.98896944,-76.74096667,York,Pennsylvania,42133
420229,2004,1,January,3,7,Sunday,21,314,2,1,1,0,40.2024,-75.46529444,Montgomery,Pennsylvania,42091
420087,2004,1,January,3,7,Sunday,22,317,2,2,1,1,40.36139444,-79.306825,Westmoreland,Pennsylvania,42129
420694,2004,1,January,4,1,Monday,11,359,1,2,1,0,40.98636111,-76.66081389,Montour,Pennsylvania,42093
420106,2004,1,January,4,1,Monday,20,404,3,2,1,0,40.40484722,-78.85581667,Cambria,Pennsylvania,42021
420163,2004,1,January,5,2,Tuesday,0,418,2,2,1,0,39.89954444,-77.44233889,Adams,Pennsylvania,42001
420058,2004,1,January,5,2,Tuesday,22,493,2,4,1,0,40.97139167,-80.235775,Lawrence,Pennsylvania,42073
420016,2004,1,January,6,3,Wednesday,11,525,1,4,6,0,40.94825,-77.73648333,Centre,Pennsylvania,42027
420421,2004,1,January,6,3,Wednesday,21,572,2,1,1,1,40.22778889,-75.62414722,Chester,Pennsylvania,42029
420128,2004,1,January,7,4,Thursday,5,580,2,1,1,0,41.19667222,-79.46194722,Clarion,Pennsylvania,42031
420695,2004,1,January,7,4,Thursday,18,618,2,1,1,0,40.11658056,-75.17824167,Montgomery,Pennsylvania,42091
420020,2004,1,January,8,5,Friday,4,644,2,1,1,1,40.60263333,-76.93599722,Dauphin,Pennsylvania,42043
420450,2004,1,January,8,5,Friday,8,651,1,4,1,0,41.7624,-76.69847222,Bradford,Pennsylvania,42015
420084,2004,1,January,8,5,Friday,10,654,1,1,1,0,40.919425,-77.01781111,Union,Pennsylvania,42119
420288,2004,1,January,8,5,Friday,15,671,1,1,1,0,40.98068056,-76.48838056,Columbia,Pennsylvania,42037
420047,2004,1,January,9,6,Saturday,0,709,2,1,1,2,39.88973333,-75.35805,Delaware,Pennsylvania,42045
420170,2004,1,January,9,6,Saturday,8,738,1,1,1,0,41.54369444,-75.21064722,Wayne,Pennsylvania,42127
420033,2004,1,January,9,6,Saturday,10,742,1,1,1,0,40.12165556,-74.84146111,Bucks,Pennsylvania,42017
420059,2004,1,January,9,6,Saturday,19,780,2,1,1,0,40.87046944,-80.24923333,Lawrence,Pennsylvania,42073
420045,2004,1,January,10,7,Sunday,0,814,2,1,1,1,40.07583333,-77.42204722,Cumberland,Pennsylvania,42041
420050,2004,1,January,10,7,Sunday,18,879,2,1,1,0,39.80609722,-80.09095833,Greene,Pennsylvania,42059
420306,2004,1,January,10,7,Sunday,19,881,3,1,1,0,40.61150556,-75.33734444,Northampton,Pennsylvania,42095
420150,2004,1,January,10,7,Sunday,23,899,2,1,2,2,41.35189167,-78.52952222,Elk,Pennsylvania,42047
420465,2004,1,January,11,1,Monday,1,909,2,1,1,2,39.94776944,-75.96463611,Chester,Pennsylvania,42029
420094,2004,1,January,11,1,Monday,6,928,1,1,1,0,40.01363333,-75.06859167,Philadelphia,Pennsylvania,42101
420386,2004,1,January,11,1,Monday,14,951,1,1,1,0,40.56008611,-76.787,Dauphin,Pennsylvania,42043
420066,2004,1,January,11,1,Monday,21,987,2,4,1,1,41.12391944,-75.90836111,Luzerne,Pennsylvania,42079
420040,2004,1,January,12,2,Tuesday,8,1024,1,4,1,0,41.52255278,-80.22090278,Crawford,Pennsylvania,42039
420048,2004,1,January,12,2,Tuesday,8,1025,2,1,1,1,39.88686111,-80.07640833,Greene,Pennsylvania,42059
420321,2004,1,January,12,2,Tuesday,8,1026,1,3,1,0,41.96155833,-79.20923333,Warren,Pennsylvania,42123
420234,2004,1,January,12,2,Tuesday,12,1039,1,4,1,0,41.88053333,-80.27386389,Erie,Pennsylvania,42049
420064,2004,1,January,12,2,Tuesday,20,1079,2,1,1,0,41.12094444,-75.96305833,Luzerne,Pennsylvania,42079
